SIC_Industry,ComparerSubIndustry,Similarity__GS__,Similarity__TF__,Combo_Similarity
Abrasive products,Abrasive products,1.0,1.0,1.0
Abrasive products,Plating and polishing,0.0,0.5428366661071777,0.27141833305358887
Abrasive products,Miscellaneous nonmetallic minerals,0.0,0.4308173358440399,0.21540866792201996
Abrasive products,Nonmetallic minerals services,0.0,0.4308173358440399,0.21540866792201996
Abrasive products,"Nonmetallic mineral products, nec",0.0,0.4308173358440399,0.21540866792201996
Abrasive products,Gypsum products,0.0,0.3996916115283966,0.1998458057641983
Abrasive products,Carwashes,0.0,0.38749590516090393,0.19374795258045197
Abrasive products,Flat glass,0.0,0.3860557973384857,0.19302789866924286
Abrasive products,Metal coating and allied services,0.0,0.3834407329559326,0.1917203664779663
Abrasive products,Clay refractories,0.0,0.3740076720714569,0.18700383603572845
Accident and health insurance,Accident and health insurance,1.0,1.0,1.0
Accident and health insurance,Surety insurance,0.29171026,0.5843493342399597,0.43802979588508606
Accident and health insurance,"Insurance carriers, nec",0.29171026,0.5402435064315796,0.415976881980896
Accident and health insurance,Life insurance,0.29171026,0.5270677208900452,0.4093889892101288
Accident and health insurance,Home health care services,0.33083016,0.47918978333473206,0.4050099700689316
Accident and health insurance,"Fire, marine, and casualty insurance",0.24450411,0.5237907767295837,0.38414744287729263
Accident and health insurance,Title insurance,0.31197172,0.4356997609138489,0.3738357424736023
Accident and health insurance,"Insurance agents, brokers, & service",0.22941609,0.33541619777679443,0.2824161425232887
Accident and health insurance,Medical and hospital equipment,0.082532145,0.4355699121952057,0.25905102863907814
Accident and health insurance,"Health and allied services, nec",0.5154886,0.0,0.25774431228637695
Accident and health insurance,Hospital and medical service plans,0.074601434,0.3837941884994507,0.22919781133532524
Accident and health insurance,Admin. of public health programs,0.29408512,0.0,0.14704255759716034
Accident and health insurance,"Offices of health practitioners, nec",0.27169535,0.0,0.13584767282009125
Accident and health insurance,"Pension, health, and welfare funds",0.2591574,0.0,0.12957869470119476
Accident and health insurance,Dental equipment and supplies,0.12514544,0.0,0.06257271766662598
Accident and health insurance,Medical equipment rental,0.10882947,0.0,0.05441473424434662
Accident and health insurance,Medical laboratories,0.10030704,0.0,0.050153519958257675
Accident and health insurance,Dental laboratories,0.09355207,0.0,0.04677603393793106
Accident and health insurance,Residential care,0.07417551,0.0,0.03708775341510773
Accident and health insurance,Surgical and medical instruments,0.073446505,0.0,0.03672325238585472
Accident and health insurance,Offices & clinics of medical doctors,0.06826464,0.0,0.03413232043385506
Accident and health insurance,Intermediate care facilities,0.06679993,0.0,0.03339996561408043
Accident and health insurance,"Public order and safety, nec",0.066514425,0.0,0.03325721248984337
Accident and health insurance,General medical & surgical hospitals,0.06181553,0.0,0.0309077650308609
Accident and health insurance,"Nursing and personal care, nec",0.05533072,0.0,0.027665359899401665
Accident and health insurance,Child day care services,0.05207139,0.0,0.026035694405436516
Accident and health insurance,Skilled nursing care facilities,0.050886076,0.0,0.02544303797185421
"Accounting, auditing, & bookkeeping","Accounting, auditing, & bookkeeping",1.0,1.0,1.0
"Accounting, auditing, & bookkeeping",Calculating and accounting equipment,0.48959053,0.6358201503753662,0.5627053380012512
"Accounting, auditing, & bookkeeping",Short-term business credit,0.0,0.299886018037796,0.149943009018898
"Accounting, auditing, & bookkeeping",Functions related to deposit banking,0.0,0.2977544963359833,0.14887724816799164
"Accounting, auditing, & bookkeeping",State credit unions,0.0,0.2974087595939636,0.1487043797969818
"Accounting, auditing, & bookkeeping",Prerecorded records and tapes,0.0,0.29560983180999756,0.14780491590499878
